Time step,Vab,Vbc,Vca,Ia,Ib,Ic,,,,,W1,W2
-0.046712,-249.66,233.81,-20.625,2.2461,1.2117,-3.1734,,,,,-560.761326,
-0.046704,-246.88,235.62,-18.312,2.2977,1.118,-3.2422,,,,,-567.256176,
-0.046696,-253.28,236.47,-19.688,2.2336,1.2422,-3.2227,,,,,-565.726208,
-0.046688,-250.03,235.44,-17.281,2.2422,1.1789,-3.1984,,,,,-560.617266,
-0.04668,-248.88,236.53,-19.531,2.175,1.1539,-3.2609,,,,,-541.314,
-0.046672,-252.34,234.38,-14.875,2.2945,1.2008,-3.2508,,,,,-578.99413,
-0.046664,-250.41,231.06,-12.812,2.1203,1.3008,-3.3047,,,,,-530.944323,
-0.046656,-255.97,235,-16.875,2.2039,1.1695,-3.2383,,,,,-564.132283,
-0.046648,-249.94,230.66,-17,2.2422,1.243,-3.2828,,,,,-560.415468,
-0.04664,-254,230.72,-17.75,2.0852,1.2211,-3.2055,,,,,-529.6408,
-0.046632,-252.47,229.38,-12.281,2.1578,1.3234,-3.1258,,,,,-544.779766,
-0.046624,-252.16,232.75,-10.5,2.1711,1.2273,-3.2742,,,,,-547.464576,
-0.046616,-257.38,227.41,-13.781,2.1594,1.3734,-3.293,,,,,-555.786372,
-0.046608,-257.56,228.91,-12.375,2.1617,1.2461,-3.2719,,,,,-556.767452,
-0.0466,-253.56,226.41,-14.531,2.2023,1.3625,-3.268,,,,,-558.415188,
-0.046592,-254.91,229.94,-12.688,2.2055,1.2188,-3.2039,,,,,-562.204005,
-0.046584,-254.84,226.62,-8.5625,2.1336,1.2672,-3.268,,,,,-543.726624,
-0.046576,-254.34,229.53,-12.062,2.1195,1.2297,-3.2266,,,,,-539.07363,
-0.046568,-253.03,228.84,-10.812,2.1734,1.2898,-3.3523,,,,,-549.935402,
-0.04656,-256.44,232.41,-10.562,2.2359,1.382,-3.1977,,,,,-573.374196,
-0.046552,-256.56,226.44,-9.6875,2.1773,1.3695,-3.2563,,,,,-558.608088,
-0.046544,-254.16,228.09,-9.6562,2.157,1.357,-3.2359,,,,,-548.22312,
-0.046536,-255.91,227.97,-7.1562,2.0852,1.4516,-3.2414,,,,,-533.623532,
-0.046528,-259.19,231.91,-4.1875,2.0891,1.3938,-3.175,,,,,-541.473829,
-0.04652,-254.66,228.66,-4.8438,2.1758,1.3828,-3.1391,,,,,-554.089228,
-0.046512,-257.12,227.69,-3.875,2.0141,1.3594,-3.2445,,,,,-517.865392,
-0.046504,-260.97,224.03,-6.3125,2.0016,1.3773,-3.3734,,,,,-522.357552,
-0.046496,-259.56,228.16,-2.3125,2.0805,1.3852,-3.2391,,,,,-540.01458,
-0.046488,-258,223.19,-5.2812,2.0922,1.35,-3.3219,,,,,-539.7876,
-0.04648,-254.75,226.88,-4.625,2.0336,1.4617,-3.2383,,,,,-518.0596,
-0.046472,-258.12,221.88,-4.75,1.9438,1.4117,-3.2492,,,,,-501.733656,
-0.046464,-257.34,230.44,-3.6562,1.9539,1.3687,-3.1008,,,,,-502.816626,
-0.046456,-259.16,221.59,-2.3438,2.0211,1.5141,-3.2539,,,,,-523.788276,
-0.046448,-258.91,229,-2.125,2.0289,1.4187,-3.232,,,,,-525.302499,
-0.04644,-258.03,221.25,-0.21875,2.068,1.4609,-3.3039,,,,,-533.60604,
-0.046432,-261.56,224.66,-4.1562,2.0266,1.5,-3.193,,,,,-530.077496,
-0.046424,-259.06,223.81,1.4375,2.0336,1.4172,-3.282,,,,,-526.824416,
-0.046416,-262.22,226.31,-2.9062,2.1023,1.4195,-3.2195,,,,,-551.265106,
-0.046408,-259.88,222.75,1.0312,1.9875,1.5148,-3.2156,,,,,-516.5115,
-0.0464,-258.28,221.97,2.4062,2.0211,1.493,-3.1734,,,,,-522.009708,
-0.046392,-257.94,221.38,3.2188,1.9727,1.4992,-3.3586,,,,,-508.838238,
-0.046384,-262.16,222.62,3.0938,2.0305,1.3859,-3.1828,,,,,-532.31588,
-0.046376,-263.69,223.31,3.2188,1.9102,1.5414,-3.1703,,,,,-503.700638,
-0.046368,-265.31,222.06,4.0312,2.0688,1.4203,-3.1945,,,,,-548.873328,
-0.04636,-265.19,219.28,2.2812,1.9734,1.5078,-3.2039,,,,,-523.325946,
-0.046352,-261.47,219.56,4.5625,2.05,1.4234,-3.2859,,,,,-536.0135,
-0.046344,-263.16,217.5,6.25,1.9609,1.5781,-3.332,,,,,-516.030444,
-0.046336,-260.22,221.09,1.375,1.8906,1.5117,-3.2789,,,,,-491.971932,
-0.046328,-260.78,218.84,8.4688,1.9383,1.5461,-3.2523,,,,,-505.469874,
-0.04632,-265.94,218.03,4.5,1.8648,1.5227,-3.4242,,,,,-495.924912,
-0.046312,-264.78,214.53,4.7812,1.8672,1.5797,-3.2555,,,,,-494.397216,
-0.046304,-261.81,218.41,9.8438,1.8242,1.5242,-3.2531,,,,,-477.593802,
-0.046296,-265.69,217.16,9.9062,1.9781,1.5289,-3.2852,,,,,-525.561389,
-0.046288,-266,219.44,12.406,1.9414,1.4945,-3.3656,,,,,-516.4124,
-0.04628,-264.97,220.34,12.906,1.9945,1.5625,-3.2469,,,,,-528.482665,
-0.046272,-269.22,221.56,11.75,1.8078,1.6391,-3.3359,,,,,-486.695916,
-0.046264,-264.41,216.66,11.531,1.857,1.6227,-3.3273,,,,,-491.00937,
-0.046256,-264.62,216,12.781,1.8813,1.6484,-3.2313,,,,,-497.829606,
-0.046248,-266.12,216.44,15.875,1.8813,1.6086,-3.2219,,,,,-500.651556,
-0.04624,-268.34,216.19,14.094,1.8773,1.6695,-3.2219,,,,,-503.754682,
-0.046232,-264.66,218.69,15.688,1.8484,1.6719,-3.2109,,,,,-489.197544,
-0.046224,-269.31,216.84,12.219,1.8562,1.6359,-3.3062,,,,,-499.893222,
-0.046216,-265.84,214.66,13.656,1.975,1.6484,-3.3227,,,,,-525.034,
-0.046208,-270.19,216.5,16.594,1.7977,1.6469,-3.2586,,,,,-485.720563,
-0.0462,-264.16,215.25,21.844,1.7836,1.5516,-3.2516,,,,,-471.155776,
-0.046192,-268.03,213.41,21.031,1.7945,1.6172,-3.3,,,,,-480.979835,
-0.046184,-264.25,209.06,17.031,1.7914,1.6125,-3.2094,,,,,-473.37745,
-0.046176,-274.41,212.88,17.812,1.8562,1.6508,-3.1445,,,,,-509.359842,
-0.046168,-269.78,210.81,18.094,1.732,1.7648,-3.3281,,,,,-467.25896,
-0.04616,-269.75,214,20.812,1.8781,1.5883,-3.3352,,,,,-506.617475,
-0.046152,-268.53,212.41,20.031,1.775,1.6859,-3.3281,,,,,-476.64075,
-0.046144,-269.88,215,22.625,1.6281,1.7188,-3.3195,,,,,-439.391628,
-0.046136,-268.44,212.44,22.812,1.8703,1.6836,-3.293,,,,,-502.063332,
-0.046128,-269.16,211.91,22.625,1.7477,1.693,-3.1656,,,,,-470.410932,
-0.04612,-269,205.69,23.688,1.8164,1.7258,-3.2406,,,,,-488.6116,
-0.046112,-268.09,212.5,24.594,1.7695,1.5711,-3.2945,,,,,-474.385255,
-0.046104,-268.59,209.09,24.125,1.6797,1.7172,-3.2969,,,,,-451.150623,
-0.046096,-273.03,209,25.375,1.7586,1.6977,-3.2742,,,,,-480.150558,
-0.046088,-267.28,208.94,28.875,1.718,1.6641,-3.2867,,,,,-459.18704,
-0.04608,-271.16,208.03,27.969,1.7594,1.7094,-3.1617,,,,,-477.078904,
-0.046072,-272.53,208.09,29.625,1.7203,1.8336,-3.2461,,,,,-468.833359,
-0.046064,-270.44,210.34,29.281,1.5742,1.7664,-3.2812,,,,,-425.726648,
-0.046056,-272.84,205.12,28.75,1.7234,1.8891,-3.2789,,,,,-470.212456,
-0.046048,-272.62,211.28,28.312,1.6852,1.8297,-3.357,,,,,-459.419224,
-0.04604,-272.78,206.22,30.938,1.6406,1.7875,-3.2617,,,,,-447.522868,
-0.046032,-270.38,204.69,26.125,1.6336,1.7156,-3.3023,,,,,-441.692768,
-0.046024,-274.28,204.38,30.281,1.6773,1.7992,-3.2781,,,,,-460.049844,
-0.046016,-271.06,205.53,33.438,1.7211,1.7906,-3.2508,,,,,-466.521366,
-0.046008,-273.22,203.97,31.562,1.6906,1.7945,-3.3125,,,,,-461.905732,
-0.046,-274.91,208.31,35.656,1.6484,1.7836,-3.1984,,,,,-453.161644,
-0.045992,-273.72,202.75,32.781,1.6453,1.882,-3.2594,,,,,-450.351516,
-0.045984,-273.59,205.59,33.094,1.6969,1.9008,-3.2773,,,,,-464.254871,
-0.045976,-272.38,199.56,35.438,1.5578,1.8906,-3.2508,,,,,-424.313564,
-0.045968,-269.94,202.75,32.781,1.5672,1.8453,-3.2961,,,,,-423.049968,
-0.04596,-274.81,204.56,38.625,1.6406,1.9133,-3.2297,,,,,-450.853286,
-0.045952,-276.25,202.12,35.219,1.4898,1.9078,-3.2766,,,,,-411.55725,
-0.045944,-273.78,198.72,42.188,1.5367,1.843,-3.2664,,,,,-420.717726,
-0.045936,-269.72,198.91,34.031,1.5531,1.8406,-3.3156,,,,,-418.902132,
-0.045928,-274.38,200.81,40.219,1.5977,1.875,-3.3062,,,,,-438.376926,
-0.04592,-276.22,201.34,39.281,1.4633,1.932,-3.1648,,,,,-404.192726,
-0.045912,-276.66,198.62,37.844,1.65,2.0063,-3.232,,,,,-456.489,
-0.045904,-272.69,198.53,38.219,1.5266,1.8398,-3.2625,,,,,-416.288554,
-0.045896,-276.03,197.56,43.219,1.5258,1.9273,-3.3781,,,,,-421.166574,
-0.045888,-272.47,196.97,40.812,1.4969,2.0102,-3.2344,,,,,-407.860343,
-0.04588,-274.84,197.38,42.969,1.5141,1.9031,-3.3023,,,,,-416.135244,
-0.045872,-279.41,197.53,44.438,1.5562,1.9883,-3.2852,,,,,-434.817842,
-0.045864,-279.44,195.62,45.719,1.5461,1.9602,-3.2773,,,,,-432.042184,
-0.045856,-279.38,194.41,39.594,1.4516,2.057,-3.1727,,,,,-405.548008,
-0.045848,-275.34,194.41,44.281,1.5094,1.9945,-3.2609,,,,,-415.598196,
-0.04584,-276.97,195.12,41.938,1.4266,1.9672,-3.2828,,,,,-395.125402,
-0.045832,-279.28,196.19,46.5,1.568,2.0195,-3.2844,,,,,-437.91104,
-0.045824,-276.59,192.47,42.781,1.4812,2.0367,-3.3008,,,,,-409.685108,
-0.045816,-275.19,193.31,49.156,1.4711,2.0039,-3.2922,,,,,-404.832009,
-0.045808,-276.59,194.75,44,1.4906,2.1187,-3.3086,,,,,-412.285054,
-0.0458,-276.84,191.09,50.406,1.4633,2.1,-3.2398,,,,,-405.099972,
-0.045792,-271.09,198.22,49.719,1.4953,2.0297,-3.2469,,,,,-405.360877,
-0.045784,-277.41,190.75,53.969,1.4641,2.1344,-3.2484,,,,,-406.155981,
-0.045776,-276.12,190.81,48.969,1.4617,1.9492,-3.3078,,,,,-403.604604,
-0.045768,-277.19,188.66,50.188,1.3719,2.0797,-3.2469,,,,,-380.276961,
-0.04576,-277.09,193.19,48.219,1.3117,2.0898,-3.2406,,,,,-363.458953,
-0.045752,-279.34,191.34,56.594,1.4352,2.0398,-3.3312,,,,,-400.908768,
-0.045744,-277.72,190.78,55.344,1.3789,1.9688,-3.2742,,,,,-382.948108,
-0.045736,-279.66,188.72,53.875,1.4141,2.0773,-3.2695,,,,,-395.467206,
-0.045728,-276.53,193.12,56.281,1.307,2.1734,-3.2555,,,,,-361.42471,
-0.04572,-281.03,185.91,54.656,1.3977,2.1453,-3.3148,,,,,-392.795631,
-0.045712,-275.22,188.81,50.812,1.4352,2.0656,-3.2164,,,,,-394.995744,
-0.045704,-279.91,187.41,55.781,1.4328,2.2,-3.3367,,,,,-401.055048,
-0.045696,-280.12,190,54.969,1.2539,2.0094,-3.3062,,,,,-351.242468,
-0.045688,-281.53,186.5,56.875,1.2719,2.0523,-3.2484,,,,,-358.078007,
-0.04568,-279.88,189.5,56.625,1.375,2.1148,-3.2727,,,,,-384.835,
-0.045672,-281.03,185.56,57.375,1.3008,2.2133,-3.3,,,,,-365.563824,
